"ID"	"Mass"	"Intensity.C1"	"Intensity.C2"	"Intensity.C3"	"Intensity.C4"	"Intensity.C5"	"Intensity.C6"	"Intensity.E15_1"	"Intensity.E15_2"	"Intensity.E15_3"	"Intensity.E15_4"	"Intensity.N1"	"Intensity.N2"	"Intensity.N3"	"Intensity.N4"	"Intensity.pY_C4"	"Intensity.pY_C5"	"Intensity.pY_C6"	"Intensity.pY_E5_1"	"Intensity.pY_E5_2"	"Intensity.pY_E5_3"	"Intensity.pY_E5_4"	"Intensity.pY_N1"	"Intensity.pY_N2"	"Intensity.pY_N3"	"Intensity.pY_N4"	"Intensity.pY_PV1"	"Intensity.pY_PV2"	"Intensity.pY_PV3"	"Intensity.pY_PV4"
77188	929.49304	"247830000"	"367980000"	"290610000"	"186780000"	"174300000"	"104830000"	"865680000"	513350000	201720000	859690000	"34346000"	"180280000"	"109270000"	11200000	"364630000"	"338280000"	"102250000"	303160000	290860000	899940000	"845760000"	"34346000"	"180280000"	"103060000"	23138000	"1191900000"	"1233000000"	1534200000	609540000
7418	967.42469	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	0	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	"0"	0	"0"	"0"	0	0
110024	921.44034	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	0	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	"0"	0	"0"	"0"	0	0
63062	908.46035	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	0	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	"0"	0	"0"	"0"	0	0
115194	760.46945	"0"	"0"	"0"	"0"	"0"	"0"	"54678000"	48757000	30884000	0	"0"	"0"	"0"	0	"0"	"0"	"41732000"	0	0	0	"24752000"	"0"	"0"	"0"	0	"0"	"0"	0	0
103018	957.47806	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"144930000"	"0"	"0"	0	"0"	"0"	"0"	0	0	0	"0"	"144930000"	"0"	"0"	0	"0"	"0"	0	0
78118	824.45045	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"147420000"	"0"	"64065000"	0	"0"	"0"	"0"	0	0	0	"0"	"147420000"	"0"	"64065000"	0	"0"	"0"	0	0
36457	862.41848	"0"	"0"	"0"	"0"	"0"	"0"	"8312200"	3475800	5118600	0	"0"	"0"	"0"	2020100	"0"	"0"	"0"	2697500	0	10810000	"5350800"	"0"	"0"	"0"	2020100	"0"	"0"	4153400	0
131620	856.46543	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	195730000	"0"	"0"	"0"	0	"0"	"0"	"0"	33057000	0	0	"0"	"0"	"0"	"0"	0	"181730000"	"240780000"	384650000	241800000
56877	786.42357	"0"	"0"	"0"	"0"	"0"	"11766000"	"40305000"	0	0	0	"0"	"0"	"0"	0	"0"	"0"	"0"	4094300	0	5869200	"150820000"	"0"	"0"	"0"	0	"0"	"0"	0	0
17780	940.50903	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	0	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	"0"	0	"0"	"0"	0	0
73557	887.51165	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"0"	"28646000"	"0"	0	"0"	"0"	"0"	0	0	0	"0"	"0"	"28646000"	"0"	0	"0"	"0"	0	0
147299	956.47158	"1119600"	"1090600000"	"877660000"	"699100000"	"1036700000"	"373300000"	"25372000"	8750800	0	920230000	"1342400000"	"1669000000"	"0"	502800000	"699100000"	"1036700000"	"373300000"	576570000	0	0	"0"	"1342400000"	"1669000000"	"0"	502800000	"912330000"	"712620000"	470660000	0
130884	926.44978	"57568000"	"77491000"	"1092100000"	"1033700000"	"852970000"	"59354000"	"761920000"	1094400000	773700000	0	"1810500000"	"1082300000"	"1352100000"	1250800000	"1102400000"	"874570000"	"65766000"	5598600	672070000	595010000	"875400000"	"1792700000"	"1060400000"	"1329400000"	1250800000	"655750000"	"790570000"	56197000	19624000
144660	836.46437	"448020000"	"665160000"	"730480000"	"584410000"	"491020000"	"344570000"	"400910000"	268800000	300940000	299750000	"452210000"	"347830000"	"232470000"	73481000	"569300000"	"471820000"	"343550000"	249480000	252850000	230320000	"608240000"	"440950000"	"337070000"	"225440000"	61608000	"478670000"	"469880000"	326280000	332720000
73147	739.44799	"0"	"0"	"0"	"23369000"	"0"	"0"	"0"	0	0	18438000	"0"	"0"	"0"	0	"23369000"	"0"	"0"	0	0	0	"0"	"0"	"0"	"0"	0	"0"	"0"	0	0
90084	785.41056	"1617200000"	"1863000000"	"1520200000"	"1621900000"	"99330000"	"0"	"1720800000"	2248600000	1626900000	71621000	"180130000"	"72877000"	"0"	0	"1621900000"	"99330000"	"0"	867650000	1490600000	0	"2333800000"	"92532000"	"72877000"	"0"	0	"901990000"	"923420000"	57449000	67153000
140578	958.55214	"0"	"0"	"178280000"	"126860000"	"168970000"	"0"	"0"	122120000	122830000	25966000	"0"	"871680000"	"908820000"	810210000	"126860000"	"168970000"	"0"	0	0	0	"0"	"0"	"871680000"	"908820000"	810210000	"103240000"	"97030000"	100210000	53775000
112892	837.45962	"751740000"	"653150000"	"26821000"	"1472100000"	"858170000"	"863030000"	"1119000000"	1573700000	678390000	192270000	"1128900000"	"641080000"	"674070000"	552050000	"1472100000"	"835970000"	"863030000"	510950000	983620000	554060000	"1363900000"	"1128900000"	"640060000"	"671810000"	547800000	"892940000"	"29396000"	414460000	490950000
104559	799.49159	"0"	"0"	"0"	"0"	"0"	"0"	"394750000"	0	96064000	0	"0"	"0"	"0"	0	"0"	"0"	"0"	0	0	0	"156830000"	"0"	"0"	"0"	0	"121190000"	"0"	58122000	0
15735	951.43717	"0"	"0"	"43100000"	"0"	"55824000"	"0"	"0"	0	21979000	0	"0"	"19936000"	"630270000"	77026000	"0"	"55824000"	"0"	0	0	0	"0"	"0"	"19936000"	"630270000"	77026000	"0"	"34042000"	14339000	0
87167	955.47767	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"0"	"0"	"33507000"	0	"0"	"0"	"0"	0	0	0	"0"	"0"	"0"	"33507000"	0	"0"	"0"	0	0
54616	642.38131	"0"	"0"	"0"	"0"	"0"	"0"	"0"	0	0	0	"0"	"185090000"	"0"	0	"0"	"0"	"0"	0	0	0	"0"	"0"	"185090000"	"0"	0	"0"	"0"	0	0
13781	844.44767	"0"	"0"	"103920000"	"0"	"81869000"	"78480000"	"169150000"	97672000	0	66161000	"0"	"0"	"0"	12227000	"0"	"81869000"	"0"	0	140270000	95610000	"141400000"	"0"	"0"	"0"	12227000	"0"	"145590000"	0	79890000
6857	920.53312	"165690000"	"240420000"	"250760000"	"0"	"146480000"	"0"	"379580000"	429660000	328440000	158200000	"0"	"0"	"0"	0	"0"	"146480000"	"0"	0	107720000	0	"508060000"	"0"	"0"	"0"	0	"0"	"0"	181740000	0
136304	808.50584	"609490000"	"510910000"	"472630000"	"444840000"	"216260000"	"491160000"	"360380000"	279350000	215060000	197810000	"330360000"	"246440000"	"227180000"	301420000	"444840000"	"216260000"	"491160000"	192700000	119210000	160490000	"269340000"	"330360000"	"246440000"	"227180000"	301420000	"392800000"	"281430000"	264250000	359420000
