ID	Mass	C1_1682_POS.asc	C1_1686_POS.asc	C1_1690_POS.asc	C1_1696_POS.asc	C1_1697_POS.asc	C1_1700_POS.asc	C1_1710_POS.asc	C1_1713_POS.asc	C1_1718_POS.asc	C1_1729_POS.asc	C1_1730_POS.asc	D4_1687_POS.asc	D4_1688_POS.asc	D4_1694_POS.asc	D4_1704_POS.asc	D4_1706_POS.asc	D4_1720_POS.asc	D4_1725_POS.asc	D4_1726_POS.asc	D4_1732_POS.asc	D4_1733_POS.asc	D4_1683_POS.asc	D4_1685_POS.asc	D4_1689_POS.asc	D4_1691_POS.asc	D4_1692_POS.asc	D4_1693_POS.asc	D4_1699_POS.asc	D4_1701_POS.asc	D4_1702_POS.asc	D4_1703_POS.asc	D4_1707_POS.asc	D4_1708_POS.asc	D4_1714_POS.asc	D4_1715_POS.asc	D4_1719_POS.asc	D4_1727_POS.asc	D4_1731_POS.asc	C2_1684_POS.asc	C2_1711_POS.asc	C2_1712_POS.asc	C2_1716_POS.asc	C2_1717_POS.asc	C2_1721_POS.asc	C2_1722_POS.asc	C2_1724_POS.asc	C2_1728_POS.asc	1723_POS_UNKNOWN.asc	D3_1695_POS.asc	D3_1698_POS.asc	D3_1709_POS.asc
1	122.71276781	1	1	7319945.9	1	1	1	1	1	1	1	1	11773545	1	1	26042957	1	1	1	1	1	7872091.1	69385254	1	295291690	10562921	1	1	1	1	1	1	1	1	9531780.9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	19829176	40253913
2	123.041236609	5031386.9	1	1	4700032.7	9700418.8	1	1	1	1	1	1	32209363	4891571.4	4298021.2	5967481.1	5135255.1	1	1	5863457.1	1	4087207.1	1	10559866	6450255.5	6419541.8	9593198.3	4372075.5	1	6939668.5	1	16829166	4139434.4	1	1	1	1	1	4387517.4	1	1	1	1	1	1	1	1	1	1	1	5887763.1	1
3	124.742125667	1	8747070.8	1	1	1	6207903.9	1	1	1	4901574.8	1	5961789	1	1	1	1	1	1	1	1	1	7680190.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	5496752.4	1	1	1	1	1
4	125.505592571	10594415	1	1	1	1	1	1	1	1	1	1	1	1	1	11099836	1	1	1	1	1	1	1	1	1	1	1	1	1	5381098.1	4990169.8	6646808.9	1	1	29575869	1	6868276.3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
5	126.020306222	4691219.6	1	1	1	1	1	1	1	1	1	1	11545979	5333096.5	1	1	1	1	1	1	1	1	1	1	6170305.6	1	6184520.3	3979336.3	1	1	1	1	6310829.9	1	4581499	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	10309546	1
6	128.340704	1	1	1	1	1	1	1	1	1	1	1	25147335	4433140.7	1	66936623	1	1	1	1	1	7134961.4	24423593	1	68828028	20428480	1	1	1	1	1	1	1	1	13754490	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	25561624	1
7	128.714352333	1	1	1	1	1	1	1	1	1	1	1	15820798	1	1	23433066	1	1	1	1	1	1	62679339	1	52038184	4640428.6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	55130887
8	131.069567429	15778237	6404327	1	1	1	1	1	1	1	1	4804816.2	1	4832073.3	12874519	7415695.2	1	13413331	9156244.2	1	16995692	367355190	6678281.2	4510757.1	7240960	1	6560239.1	4677992.5	15135279	7803522.9	1	17679242	13990693	12863352	7088840.2	90366656	5583871.4	1	7694708.8	5857562.5	4868057.2	5600762.9	37729001	9149995.6	1	10176151	7012597.5	12162769	51901055	23035342	7237087.3	1
9	132.420859	1	1	1	1	8023286.8	1	1	1	1	5982066.6	1	1	1	1	1	1	1	1	1	1	1	6005429	1	1	1	8247145.2	1	1	8164990.7	1	1	1	1	1	1	6162040.3	1	1	5869101.2	1	1	1	1	1	1	1	1	1	4361568.2	1	1
10	133.665445667	1	1	1	1	1	1	1	1	1	1	1	1	1	1	24599975	1	1	1	1	1	4700983.3	1	4959175.7	26553210	1	1	1	1	1	1	1	1	1	4185764.1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	29394307	1
