ID	RT
1	1.3
2	0.9
3	1.4
4	1.3
5	3.95
6	0.9
7	1.6
8	5.08
9	1.8
10	2.9
11	1
12	3.85
13	1.1
14	1.21538461538462
15	13.3
16	1.28888888888889
17	2.89
18	2.6
19	4.87
20	0.9
21	1.5
22	4.91
23	5.78
24	6.04
25	9.67
26	2.9
27	0.9
28	1
29	0.9
30	0.9
31	1.58888888888889
32	4.55
33	2.02
34	1.2
35	1.1
36	1.3
37	2.8375
38	1.02
39	1.2
40	2.1
41	1.3
42	1.88
43	7.85
44	8.5
45	0.9
46	1.2
47	2.5
48	13.3
49	0.9
50	0.9
51	1.3
52	4.03333333333333
53	1.8
54	13.3
55	3
56	1.4
57	1.3
58	1.92
59	2.3
60	4.8
61	13.3
62	4.4
63	1.84
64	0.9
65	3.97
66	1.3
67	5.08
68	0.9
69	1.11818181818182
70	1.4
71	1.7
72	2.29
73	2.9
74	0.9
75	1.2
76	2.92
77	2.9
78	7.22
79	1.1
80	1.1
81	0.9
82	0.9
83	1.5
84	3.83
85	1.03
86	2.02
87	5.08
88	4.7
89	1.88
90	8.5
91	13.2111111111111
92	1.3
93	1.1
94	13.3
95	0.9
96	3.85
97	1.4
98	1.16666666666667
99	2.86
100	7.22
101	1.2
102	3.2
103	0.9
104	0.9
105	1.3
106	4
107	0.9
108	1.76666666666667
109	4.91
110	5.77777777777778
111	6.06666666666667
112	9.67
113	0.97
114	1.06666666666667
115	1.4
116	0.9
117	1.24736842105263
118	4.3
119	7.52
120	7.89
121	0.9
122	0.9
123	1.4
124	4
125	4.5
126	8.63
127	2.02
128	1.86666666666667
129	2
130	4
131	4.5125
132	4.8
133	8.67142857142857
134	1.05
135	1.6
136	1.3
137	1.8
138	1.1
139	0.9
140	1.2
141	1.18947368421053
142	2.1
143	5.98
144	5.08
145	1.08
146	0.9
147	1.2
148	1.3
149	1.1
150	1.3
151	3.52
152	1.3
153	1.1
154	1.3
155	4.02
156	3.8
157	13.3
158	1.4
159	3.82
160	5.9
161	10
162	1
163	6.8
164	2.1
165	1.9
166	1.28333333333333
167	1.6
168	2.43
169	0.9
170	1.21
171	2.88
172	7.22
173	3.3
174	3.875
175	8.3
176	1.09
177	1.8
178	1
179	2.03
180	3.2
181	0.93
182	0.9
183	1.3
184	4.02
185	5.6
186	5.9
187	1.23333333333333
188	4.91
189	1.09
190	4.87142857142857
191	5.675
192	1.6
193	2.02
194	1.2
195	0.9
196	1.2
197	13.3
198	3.0625
199	0.9
200	1.6
201	1.9
202	4.92
203	13.3
204	3.4
205	0.9
206	9.26666666666667
207	0.9
208	1.22307692307692
209	4.03
210	1.2
211	2.9
212	3.97
213	7.8
214	5.78
215	13.3
216	1.2
217	1.7
218	3
219	4.3
220	5.02
221	10.68
222	0.9
223	1.3
224	4
225	4.4
226	4.8
227	8.63
228	8.68
229	1.2
230	3.92
231	0.9
232	5.98
233	0.9
234	1.3
235	8.71
236	1.2
237	1
238	1.1
239	0.9
240	4.87
241	6.4
242	9.4
243	1.3
244	1.75
245	2.9
246	1.3
247	8.5
248	1.31111111111111
249	2.02
250	2.46666666666667
251	0.9
252	1.8
253	4.92
254	2.9
255	13.3
256	4.1
257	1.9
258	0.9
259	1.5
260	13.3
261	2.53333333333333
262	1.45
263	0.9
264	1.2
265	2.71
266	1.2
267	1.55
268	1.2
269	1.3
270	0.9
271	1.3
272	3.7
273	4.03
274	1.71
275	3.98
276	7.8
277	9.66
278	1.12
279	1
280	1.25882352941177
281	1.68571428571429
282	0.9
283	1.12
284	6.6
285	11.6
286	4.5
287	4.8
288	0.9
289	2.2125
290	5.58
291	7
292	2.25
293	4.83333333333333
294	1.2
295	2.13
296	3
297	4.3
298	4.4
299	13.3
300	1.6
301	2.9
302	1.3
303	0.9
304	9.2
305	4.5
306	13.3
307	0.9
308	0.9
309	2.9
310	4.02
311	2.2
312	4.5
313	6.05
314	1.8
315	7.3
316	0.9
317	1.3
318	8.64
319	4.1
320	1.3
321	2
322	4.1
323	0.9
324	1.3
325	3.3
326	3.7
327	5.7
328	6.5
329	2.43
330	1.2
331	1
332	0.9
333	1.18
334	1.3
335	7.22
336	1
337	1.25555555555556
338	1.2
339	3.52
340	5.08
341	1.76666666666667
342	0.9
343	5.78571428571429
344	9.66
345	13.3
346	4
347	4.51111111111111
348	4.8
349	2.2
350	4.2
351	2.88333333333333
352	0.9
353	2.2
354	1.4
355	1.3
356	6.1
357	0.9
358	2.4
359	2.9
360	4
361	5.37
362	7.8
363	1.3
364	1.71818181818182
365	2.225
366	0.958333333333333
367	1.1
368	1.7
369	1.9
370	3.13
371	0.9
372	1.38888888888889
373	3.4
374	4
375	6.5
376	1.2
377	2
378	1.3
379	5.98
380	7
381	3.3
382	3.7
383	2.5
384	1.2
385	1.3
386	9.8
387	13.3
388	3.52
389	0.733333333333333
390	5.6
391	7.22
392	1.76666666666667
393	2.03333333333333
394	2.47
395	5
396	5.32
397	5.02857142857143
398	5.72
399	1.4
400	0.9
401	1.775
402	1.275
403	1.95714285714286
404	4.1
405	2.18
406	4.7
407	4.6
408	1.3
409	3.08
410	3.71818181818182
411	5.93333333333333
412	6.3
413	8.28
414	1
415	1.2
416	1.6
417	3.11
418	1
419	4
420	1.7
421	2.5
422	2
423	2.4
424	4.175
425	1.32857142857143
426	0.9
427	4
428	8.65
429	2.9625
430	2.15
431	3.75
432	5.71428571428571
433	6.9
434	13.2
435	0.9
436	13.8
437	7.2
438	5.98
439	6.5
440	1.6
441	1.19090909090909
442	2.06666666666667
443	2.725
444	3.08571428571429
445	3.3
446	1.3
447	0.9
448	1.38333333333333
449	2
450	5.02
451	5.71
452	2.04
453	2.33
454	2.74
455	4.78
456	6.03
457	4
458	1.08
459	6.9
460	1.21
461	1.8
462	2.1
463	9.2875
464	1.02857142857143
465	2.2
466	3.5
467	1.9
468	2.5
469	0.8
470	2.7
471	3.53333333333333
472	3.8
473	13.7
474	4
475	13.3
476	13.3
477	13.2888888888889
478	1.25
479	1.925
480	2.4
481	2.9
482	3.2
483	4
484	2.9
485	3.7
486	4
487	2.2375
488	5.37
489	1.3
490	4.98571428571429
491	5.98
492	4.1
493	1.4
494	1.3
495	3.77
496	4.4
497	4.88
498	6
499	0.9
500	1.63333333333333
501	1
502	1.5
503	1.2
504	1.93333333333333
