ID	Mass	R7S1	R7S2	R7S4	R7S5	R7S6	R7S7	R7S8	R7S9	R7S10	R7S11	R7S12	R7S13	R7S14	R7S15	R7S16	R8S1	R8S2	R8S4	R8S5	R8S6	R8S7	R8S8	R8S9	R8S10	R8S11	R8S12	R8S13	R8S14	R8S15	R8S16	R9S1	R9S2	R9S4	R9S5	R9S6	R9S7	R9S8	R9S9	R9S10	R9S11	R9S12	R9S13	R9S14	R9S15	R9S16
54	112,016045	0	0	8356110	5468796	8293112	9909023	9625372	3086071	0	0	0	0	0	10552718	9118794	0	8462688	6376051	0	7824598	0	9811612	0	10187933	0	6448744	0	4304193	0	8660781	0	0	9360569	8712098	0	10544887	4028776	0	0	4006398	4615519	0	8746116	0	0
68	118,02661	0	0	2844633	4137992	3521655	4079521	3007848	0	3878832	4168215	0	0	0	3172825	3251785	4352794	3408341	3131582	3446853	5502801	0	0	3244945	4030122	4373682	2906538	3530476	0	2912952	4680753	3271483	3017293	0	3601571	3204852	2796549	0	4599949	4166774	0	3788942	0	4303725	4115225	2945726
79	125,998681	0	0	0	0	0	0	0	0	0	0	0	0	4102606	5503844	3718443	0	0	0	0	0	0	4373122	0	0	0	0	0	0	3112451	4255169	0	0	2643871	0	0	0	2799093	0	0	2948779	2749619	0	3762972	0	6021431
80	126,031695	0	0	0	0	0	0	0	0	0	3063989	0	0	0	0	0	0	2605466	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
86	130,02661	10119232	16719351	16745281	11742144	14855390	21212614	15556445	6798845	12570347	15931846	0	0	4719184	16545722	16976160	12597047	19354010	13191728	5384613	15275006	2620373	17215206	11501657	13970165	14652803	12199161	13004977	10346606	4326301	16772575	14019294	18738126	14629369	18999596	12259721	19900754	7109573	16889696	14692276	10158378	10679984	3300534	15208039	8449536	7085633
92	132,005875	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3097693	0	0	0	0	0	0	0	0	0	0	0	3116813	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
93	132,04226	4483381	6231285	7211346	4007638	7260088	7795889	7138419	0	7289784	5490869	0	0	3306413	8308938	8533493	5475323	6449732	4825669	2750918	8191686	0	7870463	4569752	7136274	5117782	4873694	5351078	3425952	0	6282957	5458139	7527580	7906099	7256592	5635441	6756975	3050191	7220789	5341276	3694726	3777341	0	7034070	3358170	2611106
95	134,021525	41393304	47714400	55981520	46920284	46185212	43549704	57123320	46137132	56100080	58909712	25094166	38583304	48003700	54507080	56681268	55595304	49288020	50703560	37189204	45923832	32865412	59225480	54235976	54702496	61240212	36871980	50615560	37495620	32368606	56419368	56042824	50075092	56710364	53375840	45075396	47214588	39107656	54158708	48528236	49101644	44999728	44276284	53876648	42962460	43534960
97	134,05791	3390129	8793724	5273069	4982134	8169751	4792101	6062612	5988168	4995849	4928810	4323378	4780833	6526607	7324773	5182543	7293763	8927087	5136868	4077681	8181778	5224606	6619811	5895013	6157242	4612781	4357192	6912801	3474912	3335160	4808770	5026913	9412590	7147002	7449978	6800863	7356951	4599139	6944654	7085444	6302055	6387271	8246358	4121280	3081784	5889673
99	136,05243	0	0	0	0	0	0	0	0	0	0	0	0	0	2946414	2909589	0	0	0	0	2747590	0	0	0	0	0	0	0	2808978	0	0	3594581	0	0	2590030	0	2959918	0	0	0	0	0	0	0	0	0
