ID	MI	H	C	O	N	S	P	MN	ERROR
54	111,0087892	4	5	3	0	0	0	112,016045	-0,186471756
68	117,0193506	6	4	4	0	0	0	118,02661	-0,146129699
79	124,991415	6	2	4	0	1	0	125,998681	-0,084005777
80	125,024425	6	6	3	0	0	0	126,031695	-0,051989844
86	129,0193454	6	5	4	0	0	0	130,02661	-0,092234238
92	130,9986167	4	4	5	0	0	0	132,005875	-0,138932784
93	131,0349956	8	5	4	0	0	0	132,04226	-0,092341752
95	133,0142577	6	4	5	0	0	0	134,021525	-0,069165522
97	133,0506442	10	5	4	0	0	0	134,05791	-0,080420511
99	135,0451614	8	8	2	0	0	0	136,05243	-0,058498952
105	143,0349933	8	6	4	0	0	0	144,04226	-0,068514707
108	145,0142546	6	5	5	0	0	0	146,021525	-0,042064832
122	147,0299046	8	5	5	0	0	0	148,037175	-0,04148816
124	147,0662786	12	6	4	0	0	0	148,07356	0,03331831
132	149,045553	10	5	5	0	0	0	150,052825	-0,030192113
139	152,995833	7	3	5	0	0	1	154,003112	0,016340314
144	154,9986127	4	6	5	0	0	0	156,005875	-0,091613731
151	157,0142482	6	6	5	0	0	0	158,021525	0,001910655
152	157,0506326	10	7	4	0	0	0	158,05791	0,005730636
158	159,0298992	8	6	5	0	0	0	160,037175	-0,004401688
163	161,0455517	10	6	5	0	0	0	162,052825	-0,019870155
166	163,0248076	8	5	6	0	0	0	164,03209	0,03619081
168	163,0400706	8	9	3	0	0	0	164,047345	-0,012880269
173	165,0404676	10	5	6	0	0	0	166,04774	-0,024842393
177	169,014248	6	7	5	0	0	0	170,021525	0,00295833
178	169,1234025	18	10	2	0	0	0	170,13068	0,005912842
180	171,0064	9	3	6	0	0	1	172,013677	0,002923867
181	172,0615217	11	7	4	1	0	0	173,068809	0,062768243
185	173,009164	6	6	6	0	0	0	174,01644	-0,00289002
187	173,0455468	10	7	5	0	0	0	174,052825	0,009824003
189	174,07718	13	7	4	1	0	0	175,084459	0,014361446
192	175,0248138	8	6	6	0	0	0	176,03209	-0,001714043
195	175,061195	12	7	5	0	0	0	176,068475	0,019993008
201	177,040459	10	6	6	0	0	0	178,04774	0,025417918
207	179,0349808	8	9	4	0	0	0	180,04226	0,015080852
209	179,038353	12	6	4	0	1	0	180,045631	0,008378093
211	179,05611	12	6	6	0	0	0	180,06339	0,019546945
213	179,0575509	8	7	2	4	0	0	180,064726	-0,566298695
216	181,0506281	10	9	4	0	0	0	182,05791	0,029825911
217	181,0540037	14	6	4	0	1	0	182,061281	0,004418571
220	184,061545	11	8	4	1	0	0	185,068809	-0,067912072
221	185,081935	14	9	4	0	0	0	186,08921	-0,008104519
223	185,1183148	18	10	3	0	0	0	186,125595	0,019987217
225	186,040791	9	7	5	1	0	0	187,048074	0,034938573
230	187,0248044	8	7	6	0	0	0	188,03209	0,048656645
233	187,0360405	8	6	5	2	0	0	188,043323	0,032079378
235	187,0611931	12	8	5	0	0	0	188,068475	0,028867558
236	187,13399	20	10	3	0	0	0	188,141245	-0,114890953
239	188,0353141	7	10	3	1	0	0	189,042594	0,01808171
241	188,0564379	11	7	5	1	0	0	189,063724	0,051048502
242	188,0928261	15	8	4	1	0	0	189,100109	0,034025752
246	189,0040754	6	6	7	0	0	0	190,011355	0,016401762
249	189,0404521	10	7	6	0	0	0	190,04774	0,06030455
253	189,0768379	14	8	5	0	0	0	190,084125	0,056061861
255	190,0720773	13	7	5	1	0	0	191,079374	0,106275462
263	191,0197167	8	6	7	0	0	0	192,027005	0,061773724
264	191,0206692	12	7	2	0	2	0	192,027872	-0,385822271
267	191,02273	9	5	4	2	0	1	192,029995	-0,060202263
270	191,056104	12	7	6	0	0	0	192,06339	0,049723612
281	193,0176022	10	6	5	0	1	0	194,024896	0,089629123
286	193,02883	10	5	4	2	1	0	194,036129	0,116562885
289	193,0353646	10	6	7	0	0	0	194,042655	0,072007526
290	193,036338	14	7	2	0	2	0	194,043522	-0,47918462
291	193,03671	6	7	3	4	0	0	194,043991	0,023311628
295	193,0506215	10	10	4	0	0	0	194,05791	0,062159858
296	193,0539924	14	7	4	0	1	0	194,061281	0,062676763
297	193,0717471	14	7	6	0	0	0	194,07904	0,084942509
302	194,039465	9	8	1	3	1	0	195,046633	-0,559164913
312	194,9968589	8	5	6	0	1	0	196,004161	0,131284149
313	195,0298912	8	9	5	0	0	0	196,037175	0,037430158
314	195,0332487	12	6	5	0	1	0	196,040546	0,106648471
322	195,0510096	12	6	7	0	0	0	196,058305	0,096897721
323	195,0520033	16	7	2	0	2	0	196,059172	-0,552673429
327	195,06629	12	10	4	0	0	0	196,07356	-0,033322007
329	195,1026498	16	11	3	0	0	0	196,109945	0,095846972
339	197,0091454	6	8	6	0	0	0	198,01644	0,091873899
340	197,0455275	10	9	5	0	0	0	198,052825	0,106574344
349	198,0771633	13	9	4	1	0	0	199,084459	0,096931912
353	198,9917779	8	4	7	0	1	0	199,999076	0,108547187
354	199,0248	8	8	6	0	0	0	200,03209	0,067830738
356	199,0376821	13	5	6	0	0	1	200,044977	0,092444798
357	199,0434155	12	9	3	0	1	0	200,050716	0,120576694
358	199,0611748	12	9	5	0	0	0	200,068475	0,119058863
359	199,0975624	16	10	4	0	0	0	200,10486	0,105978182
360	199,969268	7	3	5	1	2	0	200,976566	0,107516509
363	200,0564248	11	8	5	1	0	0	201,063724	0,113467975
364	200,0928058	15	9	4	1	0	0	201,100109	0,133438063
366	200,1291969	19	10	3	1	0	0	201,136494	0,102933496
368	201,0226567	10	8	4	0	1	0	202,029981	0,237784086
369	201,0404417	10	8	6	0	0	0	202,04774	0,108435882
372	201,0768075	14	9	5	0	0	0	202,084125	0,203902141
373	201,1132167	18	10	4	0	0	0	202,12051	0,08353503
375	202,0720709	13	8	5	1	0	0	203,079374	0,131636185
376	203,00195	8	7	5	0	1	0	204,009246	0,096058181
378	203,0197006	8	7	7	0	0	0	204,027005	0,137425068
379	203,02054	12	8	2	0	2	0	204,027872	0,27337128
382	203,0560858	12	8	6	0	0	0	204,06339	0,136415494
384	203,0924725	16	9	5	0	0	0	204,099775	0,128020484
386	203,1077313	16	13	2	0	0	0	204,11503	0,109301588
388	204,0302065	7	10	4	1	0	0	205,037509	0,127432095
389	204,0335775	11	7	4	1	1	0	205,04088	0,12742999
