ID	MN	H	C	O	N	S	P	Na	ME	Biomarker
239	129.078979	11	6	2	1	0	0	0	130.0862914	0
251	131.094629	13	6	2	1	0	0	0	132.1019429	1
354	143.094629	13	7	2	1	0	0	0	144.1019547	0
357	144.04226	8	6	4	0	0	0	0	145.0496	0
364	145.073894	11	6	3	1	0	0	0	146.08122	0
377	146.069143	10	5	3	2	0	0	0	147.07649	0
521	154.05379	11	4	3	1	1	0	1	177.04286	0
533	159.065735	10	7	4	0	0	0	1	182.0551619	0
442	159.125929	17	8	2	1	0	0	0	160.1332671	0
447	160.084793	12	6	3	2	0	0	0	161.092105	0
449	161.05105	11	6	2	1	1	0	0	162.058395	0
456	162.052825	10	6	5	0	0	0	0	163.0601732	0
564	164.055899	9	5	5	1	0	0	1	187.0452833	0
794	170.045645	9	3	4	2	0	1	2	215.0168379	0
607	170.048705	11	4	4	1	1	0	1	193.0377175	0
487	170.105528	14	8	2	2	0	0	0	171.1128861	0
493	171.977292	5	2	7	0	0	1	0	172.9847742	0
821	172.061295	11	3	4	2	0	1	2	217.032465	0
494	172.121178	16	8	2	2	0	0	0	173.1285618	0
502	174.050321	10	11	0	0	1	0	0	175.057778	0
503	174.100443	14	7	3	2	0	0	0	175.107823	1
504	174.111676	14	6	2	4	0	0	0	175.1190505	0
513	175.084459	13	7	4	1	0	0	0	176.0918287	1
523	177.08235	15	7	2	1	1	0	0	178.0897346	1
525	178.04774	10	6	6	0	0	0	0	179.0551075	0
645	178.071549	11	6	5	1	0	0	1	201.0609195	0
673	180.087199	13	6	5	1	0	0	1	203.0765625	0
535	181.073894	11	9	3	1	0	0	0	182.0812686	0
543	183.029661	10	4	5	1	0	1	0	184.0371467	1
544	183.05653	13	5	4	1	1	0	0	184.0638924	0
545	183.066046	14	5	4	1	0	1	0	184.073495	0
549	184.013677	9	4	6	0	0	1	0	185.02117	0
550	184.034671	8	12	0	0	1	0	0	185.0417882	0
551	184.034671	8	12	0	0	1	0	0	185.0421484	0
708	184.064355	13	5	4	1	1	0	1	207.0533645	0
553	184.121178	16	9	2	2	0	0	0	185.1285491	1
554	184.157563	20	10	1	2	0	0	0	185.1649437	1
559	185.116427	15	8	2	3	0	0	0	186.1238386	1
563	185.992942	7	3	7	0	0	1	0	187.0004322	0
566	186.050321	10	12	0	0	1	0	0	187.057818	0
568	186.064058	10	7	4	2	0	0	0	187.07148	0
569	186.100443	14	8	3	2	0	0	0	187.1078278	0
570	187.084459	13	8	4	1	0	0	0	188.0918427	0
572	188.008592	9	3	7	0	0	1	0	189.01611	0
574	188.079708	12	7	4	2	0	0	0	189.08711	0
575	188.116093	16	8	3	2	0	0	0	189.1234677	1
577	189.036068	7	9	0	3	1	0	0	190.0433333	0
578	189.042594	7	10	3	1	0	0	0	190.0499614	0
581	189.100109	15	8	4	1	0	0	0	190.1074973	0
766	190.035164	7	6	6	1	0	0	1	213.0245348	0
595	190.077599	14	7	2	2	1	0	0	191.0849789	1
606	191.069477	9	9	2	3	0	0	0	192.07684	0
798	192.050814	9	6	6	1	0	0	1	215.0401632	0
802	192.087199	13	7	5	1	0	0	1	215.0765664	1
611	193.110279	15	11	2	1	0	0	0	194.1176371	0
822	194.048705	11	6	4	1	1	0	1	217.0377769	0
824	194.066464	11	6	6	1	0	0	1	217.0558491	0
827	194.102849	15	7	5	1	0	0	1	217.09227	0
616	195.029661	10	5	5	1	0	1	0	196.0371624	1
619	196.013677	9	5	6	0	0	1	0	197.0211581	0
856	196.082114	13	6	6	1	0	0	1	219.071455	0
621	196.121178	16	10	2	2	0	0	0	197.1285781	0
626	197.105194	15	10	3	1	0	0	0	198.1125674	0
1206	198.004175	5	3	6	2	0	1	2	242.9753756	0
1208	198.04056	9	4	5	2	0	1	2	243.011644	0
628	198.050321	10	13	0	0	1	0	0	199.0578102	0
631	198.136828	18	10	2	2	0	0	0	199.1442191	1
632	198.173213	22	11	1	2	0	0	0	199.1805937	1
638	199.084459	13	9	4	1	0	0	0	200.09187	0
639	199.132077	17	9	2	3	0	0	0	200.1394797	1
642	200.008592	9	4	7	0	0	1	0	201.0161007	0
644	200.029586	8	12	1	0	1	0	0	201.0370593	0
646	200.065971	12	13	0	0	1	0	0	201.0734617	0
647	200.079708	12	8	4	2	0	0	0	201.0871076	0
649	200.116093	16	9	3	2	0	0	0	201.1234833	1
651	201.100109	15	9	4	1	0	0	0	202.1074962	0
653	201.172879	23	11	2	1	0	0	0	202.1802753	0
669	202.045236	10	12	1	0	1	0	0	203.0527287	0
674	202.077599	14	8	2	2	1	0	0	203.0850267	0
675	202.095358	14	8	4	2	0	0	0	203.10275	0
676	202.131743	18	9	3	2	0	0	0	203.1391225	0
681	203.079374	13	8	5	1	0	0	0	204.0867531	0
682	203.115759	17	9	4	1	0	0	0	204.1231865	0
926	203.946303	3	1	7	1	0	2	1	226.9356147	0
688	204.003507	9	3	8	0	0	1	0	205.0109994	0
933	204.050814	9	7	6	1	0	0	1	227.0402254	0
694	204.060886	12	12	1	0	1	0	0	205.0683796	0
696	204.089878	12	11	2	2	0	0	0	205.0972782	0
697	204.111008	16	8	4	2	0	0	0	205.1184575	0
699	204.954128	5	1	7	1	0	2	0	205.96172	0
702	205.052113	11	6	3	3	1	0	0	206.0592218	0
704	205.095024	15	8	5	1	0	0	0	206.1024029	0
705	205.938144	4	1	8	0	0	2	0	206.9457511	0
972	206.066464	11	7	6	1	0	0	1	229.0558286	0
976	206.102849	15	8	5	1	0	0	1	229.0922471	0
711	206.13068	18	13	2	0	0	0	0	207.1380475	0
716	207.053159	9	10	4	1	0	0	0	208.0605295	0
717	207.05653	13	7	4	1	1	0	0	208.063948	0
719	207.067763	13	6	3	3	1	0	0	208.07485	0
989	207.098098	14	7	5	2	0	0	1	230.0874693	0
1016	208.082114	13	7	6	1	0	0	1	231.0714758	0
724	208.09469	16	8	6	0	0	0	0	209.10213	0
1022	208.118499	17	8	5	1	0	0	1	231.1079213	0
725	208.14633	20	13	2	0	0	0	0	209.1537333	0
726	208.157563	20	12	1	2	0	0	0	209.16495	0
727	209.008926	8	5	6	1	0	1	0	210.0164157	0
1039	209.095989	16	7	3	2	1	0	1	232.0850575	0
729	209.105194	15	11	3	1	0	0	0	210.1125639	0
1535	210.004175	5	4	6	2	0	1	2	254.9752514	0
739	210.029327	11	6	6	0	0	1	0	211.0368307	0
1542	210.04056	9	5	5	2	0	1	2	255.0117367	0
1058	210.04362	11	6	5	1	1	0	1	233.0326402	0
1069	210.062246	15	7	2	1	2	0	1	233.0514676	0
1079	210.080005	15	7	4	1	1	0	1	233.0690462	0
1080	210.097764	15	7	6	1	0	0	1	233.0871794	0
741	210.136828	18	11	2	2	0	0	0	211.1442	1
1087	211.002484	6	4	6	2	1	0	1	233.991695	0
747	211.024576	10	5	6	1	0	1	0	212.0320657	0
748	211.060961	14	6	5	1	0	1	0	212.0684443	0
750	211.120844	17	11	3	1	0	0	0	212.1282443	0
765	212.008592	9	5	7	0	0	1	0	213.0161173	0
1111	212.034118	9	4	5	3	1	0	1	235.0233404	0
767	212.044977	13	6	6	0	0	1	0	213.0524867	0
1115	212.05927	13	6	5	1	1	0	1	235.048336	0
769	212.065971	12	14	0	0	1	0	0	213.0734442	0
771	212.10486	16	11	4	0	0	0	0	213.1122594	0
772	212.116093	16	10	3	2	0	0	0	213.1234909	0
774	212.152478	20	11	2	2	0	0	0	213.159876	1
779	212.994325	7	4	7	1	1	0	0	214.0018377	0
780	213.040226	12	5	6	1	0	1	0	214.0477249	0
1129	213.066403	8	12	2	2	0	0	1	236.0558686	0
781	213.100109	15	10	4	1	0	0	0	214.1075473	0
782	213.111342	15	9	3	3	0	0	0	214.1187229	0
783	213.136494	19	11	3	1	0	0	0	214.1439525	0
796	214.024242	11	5	7	0	0	1	0	215.0317636	0
799	214.045236	10	13	1	0	1	0	0	215.0527413	0
801	214.060627	15	6	6	0	0	1	0	215.0681429	0
803	214.095358	14	9	4	2	0	0	0	215.1027544	1
804	214.131743	18	10	3	2	0	0	0	215.1391382	1
1150	215.033784	10	4	6	2	1	0	1	238.0230867	0
808	215.036463	9	7	3	3	1	0	0	216.04358	0
809	215.055876	14	5	6	1	0	1	0	216.06329	0
810	215.079374	13	9	5	1	0	0	0	216.0868026	0
811	215.090607	13	8	4	3	0	0	0	216.0980467	0
812	215.115759	17	10	4	1	0	0	0	216.1231656	0
814	215.188529	25	12	2	1	0	0	0	216.1959409	0
816	216.003507	9	4	8	0	0	1	0	217.0109982	0
820	216.024501	8	12	2	0	1	0	0	217.0319822	0
823	216.039892	13	5	7	0	0	1	0	217.0473467	0
825	216.060886	12	13	1	0	1	0	0	217.0683664	0
826	216.074623	12	8	5	2	0	0	0	217.08204	0
828	216.111008	16	9	4	2	0	0	0	217.118399	0
829	216.129634	20	10	1	2	1	0	0	217.13706	0
830	216.147393	20	10	3	2	0	0	0	217.1547959	1
833	217.058639	11	8	6	1	0	0	0	218.06606	0
835	217.095024	15	9	5	1	0	0	0	218.1024336	0
836	217.106257	15	8	4	3	0	0	0	218.11372	0
837	217.142642	19	9	3	3	0	0	0	218.15009	0
840	217.938144	4	2	8	0	0	2	0	218.9457861	0
1173	217.961953	5	2	7	1	0	2	1	240.9512909	0
848	218.019157	11	4	8	0	0	1	0	219.0266629	0
854	218.040151	10	12	2	0	1	0	0	219.0476276	0
857	218.090273	14	8	5	2	0	0	0	219.09766	0
858	218.105528	14	12	2	2	0	0	0	219.1129336	1
859	218.126658	18	9	4	2	0	0	0	219.1340715	0
860	218.141913	18	13	1	2	0	0	0	219.1493358	0
866	219.110674	17	9	5	1	0	0	0	220.1180696	0
1205	219.977603	7	2	7	1	0	2	1	242.9668998	0
871	220.016261	12	7	0	2	3	0	0	221.0236533	0
878	220.03402	12	7	2	2	2	0	0	221.04148	0
