ID	Mass	RT	Biomarker
6	54.010724	1.5288	0
7	54.010724	3.179	0
5	54.010724	4.8072	0
16	55.042324	1.2644	0
17	55.042524	1.1813	0
19	56.026124	1.4753	0
21	56.026324	1.2309	0
23	57.058124	1.0686	0
24	57.988424	1.2536	0
25	58.065724	1.0677	0
29	59.037024	6.6962	0
33	59.040424	1.2511	0
36	59.073324	1.0588	0
37	59.073324	1.2596	0
38	60.004824	1.2763	0
44	66.046924	5.1045	0
45	66.047024	8.2214	0
50	67.042624	1.0581	0
53	67.989924	1.2564	0
54	67.989924	1.3589	0
55	67.989924	3.6851	0
56	67.989924	5.3779	0
58	67.990024	3.7711	0
67	68.026324	1.1008	0
68	68.026324	1.2613	0
69	68.026324	1.4788	0
70	68.026324	6.3572	0
81	68.062424	1.8986	0
87	69.022624	1.2253	0
90	69.056724	1.0891	0
95	69.057724	1.962	0
96	69.057724	3.8967	0
97	69.057724	5.9701	0
102	69.057824	3.6068	0
103	69.057824	5.2302	0
110	69.057924	1.2481	0
120	69.419324	1.0915	0
124	69.535424	1.0913	0
125	69.601224	1.0895	0
128	70.005424	5.7724	0
132	70.005524	1.1755	0
131	70.005524	3.1685	0
136	70.041724	8.2214	0
140	70.041924	4.3813	0
139	70.041924	5.1038	0
146	70.060824	1.9638	0
148	70.061324	1.0904	0
152	70.078124	6.6963	0
155	71.061024	1.0897	0
156	71.073024	3.9372	0
161	71.073224	1.1847	0
159	71.073224	1.2601	0
166	71.073224	1.5098	0
165	71.073224	1.8848	0
163	71.073224	3.6091	0
160	71.073224	4.971	0
162	71.073224	5.6761	0
164	71.073224	7.2978	0
173	71.073324	2.3167	0
170	71.073324	2.606	0
171	71.073324	4.1481	0
168	71.073324	4.3316	0
167	71.073324	5.0902	0
172	71.073324	5.3416	0
169	71.073324	6.2091	0
176	71.073424	4.4249	0
181	71.073524	5.5893	0
185	71.073624	3.7392	0
190	71.074324	6.6467	0
201	71.931324	3.0177	0
209	72.017024	1.2634	0
213	72.021024	4.8062	0
214	72.021124	1.5266	0
215	72.021224	1.129	0
216	72.057524	1.6893	0
230	73.052824	1.2634	1
235	74.019724	1.2617	0
236	74.019824	1.4316	0
237	74.036624	1.2216	0
240	74.048124	5.946	0
241	75.012424	1.2487	0
242	75.030124	1.2358	1
248	76.031124	3.7484	0
250	76.031324	2.5969	0
251	76.031324	7.1615	0
253	76.031424	4.4157	0
254	76.031424	6.3583	0
263	77.026724	1.0831	0
267	78.046824	6.3581	0
269	78.046924	3.7675	0
268	78.046924	6.1621	0
270	78.046924	7.1626	0
282	80.026124	1.2673	0
281	80.026124	1.471	0
284	80.027724	1.1097	0
287	80.062024	11.2872	0
291	80.062524	4.9865	0
290	80.062524	6.3584	0
293	81.022024	1.1782	0
