ID	Mass	R7S1	R7S2	R7S3	R7S4	R7S5	R7S6	R7S7	R7S8	R7S9	R7S10	R7S11	R7S12	R7S13	R7S14	R7S15	R8S1	R8S2	R8S3	R8S4	R8S5	R8S6	R8S7	R8S8	R8S9	R8S10	R8S11	R8S12	R8S13	R8S14	R8S15	R9S1	R9S2	R9S3	R9S4	R9S5	R9S6	R9S7	R9S8	R9S9	R9S10	R9S11	R9S12	R9S13	R9S14	R9S15
6	54.010724	13.9777	8.42365	13.64015	24.1457	15.42115	6.2979	11.57675	16.24245	22.1082	17.98405	13.83135	16.65925	15.4948	7.21535	19.01305	7.23275	13.7882	14.37925	19.3926	20.4091	18.57485	12.6834	0	15.7937	15.46545	19.02475	17.12525	7.0169	15.35475	22.75025	17.62005	15.77985	19.2557	18.27005	25.2466	12.7264	14.3649	7.9336	19.6709	7.1748	8.6841	19.6179	21.95755	17.5405	18.8975
7	54.010724	12.86525	3.76905	0	12.2646	9.44605	7.5098	10.42045	4.0981	5.6713	6.7781	5.2343	7.6281	5.8553	5.1448	12.1976	5.51005	10.703	6.0381	12.13875	9.27445	5.0163	5.3269	3.3933	5.6123	9.0723	4.5962	10.09695	10.1636	8.798	13.45255	8.0745	9.5309	5.74175	10.4116	13.4292	4.6421	8.8867	10.7416	11.29685	11.272	7.95745	5.4545	15.4402	6.9909	9.95205
5	54.010724	42.23745	21.88385	29.33935	55.7124	59.04785	37.1021	40.5176	34.50285	44.6034	45.27635	31.34245	19.2993	33.4735	13.42165	47.65315	31.5148	30.56265	27.77945	46.97645	54.2517	28.7445	39.80065	36.5707	49.33655	42.53785	42.3561	51.93825	42.6406	37.1779	48.42995	38.8329	29.5995	32.19185	36.4415	57.10015	39.02205	36.68615	51.6933	58.7868	34.1604	36.0833	38.46665	53.92185	52.5574	35.34145
16	55.042324	26.02645	39.3712	20.65775	15.07175	27.56325	29.90265	45.1979	36.8809	24.35705	46.2355	31.95825	41.24835	32.9363	14.4716	25.3852	41.6455	36.57615	20.42255	33.42785	35.61665	36.4855	38.63085	35.92725	42.40935	32.93745	31.68845	23.09505	25.5595	37.23985	20.97835	33.8513	14.0881	33.76375	23.55255	21.2839	43.7978	44.12675	27.83295	42.33805	7.40275	41.2376	36.9945	25.87545	24.0438	35.0995
17	55.042524	16.20335	10.04295	19.4243	10.1651	19.6747	18.10935	7.1997	20.24635	21.67435	9.421	20.6519	9.2271	22.3694	18.214	11.09655	15.4483	21.87095	23.7614	24.0272	16.7056	15.75125	16.74555	21.78205	20.0913	21.06155	0	0	9.4468	20.1111	17.01985	22.63175	9.0044	20.0237	20.2958	17.0614	20.912	14.3998	21.49915	9.4779	16.74365	23.1241	11.34425	18.4183	24.16795	19.88265
19	56.026124	5.2358	5.256	10.05155	6.58685	11.69895	0	6.9627	0	4.86255	5.9927	7.5108	4.14415	9.966	6.65135	13.77955	0	6.95695	11.09955	11.6732	10.9844	13.0764	12.30865	8.38625	0	11.05915	9.6178	15.9434	4.9805	0	14.88555	9.94385	14.7035	11.56815	0	6.0662	0	9.7604	10.79485	5.19595	0	12.40005	5.2827	9.57135	14.1541	11.7528
21	56.026324	6.52055	7.52535	17.9205	18.93765	7.58365	0	5.79755	19.533	0	10.78775	7.6505	6.64095	17.80665	0	20.33045	19.13445	10.56545	18.56305	0	13.54095	10.5924	7.9497	20.7348	0	10.29645	12.42505	20.46555	0	17.6891	13.84195	19.7049	14.7323	16.9363	21.09225	4.70085	5.87005	0	0	0	7.06275	12.5352	6.3483	10.98995	22.9705	0
23	57.058124	13.23405	14.12235	10.724	13.86265	10.6818	12.15455	11.9839	15.587	10.6683	13.326	15.06385	11.27585	12.23875	11.2722	11.95795	13.1344	13.79225	13.59675	11.67175	12.7254	12.5544	10.8462	12.1433	13.8453	11.8801	11.7329	13.66725	12.3542	12.66015	12.66905	11.15435	14.6041	5.22895	13.73455	12.9686	5.95475	14.61	14.00735	17.98405	10.8917	11.1171	13.99145	14.9821	14.08225	12.679
24	57.988424	15.27805	1.24555	14.22685	3.3256	25.57375	1.7001	13.9714	0	1.732	15.8697	6.2965	3.6356	1.85735	0	1.6275	0	0	22.82935	0	28.94525	0	0	4.66625	2.01425	15.56705	0	5.5219	2.0276	2.29525	0	13.58445	0	17.8628	0	19.58125	0	4.192	5.32875	9.7331	16.0681	7.18045	0	3.39795	0	0
25	58.065724	11.9727	12.7281	11.1254	12.302	13.174	13.88345	11.5307	10.99735	18.7183	12.9627	11.66385	16.50455	15.6617	14.6548	12.4756	12.48115	12.6599	12.13995	15.6112	12.9564	12.07755	12.2045	13.9779	15.95175	11.69705	11.2855	13.4453	15.26735	13.5005	18.84135	10.79865	12.7916	14.51175	11.5824	11.16625	10.62115	11.1357	14.26515	16.77815	10.20925	12.5148	13.8147	18.7375	13.5108	18.03565
