"ID"	"MN"	"H"	"C"	"O"	"N"	"S"	"P"	"Na"	"ME"	"Scores"	"NBP"	"Peptide"	"KEGG"
"239"	"129.078979"	"11"	"6"	"2"	"1"	"0"	"0"	"0"	"130.0862914"	"-0.17391424"	"0"	"No Peptide Found"	"C00408 , C03969 , C05936 , C07500 , C13696"
"251"	"131.094629"	"13"	"6"	"2"	"1"	"0"	"0"	"0"	"132.1019429"	"0.986905741"	"1"	"L1"	"C00123 , C00407 , C01570 , C01933 , C02378 , C02486 , C06418 , C08263 , C16434 , C16439 , C16647 , C21092 , C21096"
"354"	"143.094629"	"13"	"7"	"2"	"1"	"0"	"0"	"0"	"144.1019547"	"0.171233687"	"0"	"No Peptide Found"	"C04114 , C10172"
"357"	"144.04226"	"8"	"6"	"4"	"0"	"0"	"0"	"0"	"145.0496"	"-0.997866688"	"0"	"No Peptide Found"	"C00922 , C01757 , C02295 , C02930 , C19821 , C19822 , C19826"
"364"	"145.073894"	"11"	"6"	"3"	"1"	"0"	"0"	"0"	"146.08122"	"-0.110783143"	"0"	"No Peptide Found"	"C02946 , C03239 , C03656 , C04076 , C05825"
"377"	"146.069143"	"10"	"5"	"3"	"2"	"0"	"0"	"0"	"147.07649"	"-0.18403396"	"1"	"G1A1"	"C00064 , C00303 , C00819 , C05100 , C16673 , C21029"
"521"	"154.05379"	"11"	"4"	"3"	"1"	"1"	"0"	"1"	"177.04286"	"0.349614576"	"0"	"No Peptide Found"	"Non metabolites found"
"533"	"159.065735"	"10"	"7"	"4"	"0"	"0"	"0"	"1"	"182.0551619"	"0.378190862"	"0"	"No Peptide Found"	"Non metabolites found"
"442"	"159.125929"	"17"	"8"	"2"	"1"	"0"	"0"	"0"	"160.1332671"	"0.507262758"	"0"	"No Peptide Found"	"Non metabolites found"
"447"	"160.084793"	"12"	"6"	"3"	"2"	"0"	"0"	"0"	"161.092105"	"-0.050043937"	"1"	"A2"	"C00993 , C03153 , C06442 , C10996 , C19929"
"449"	"161.05105"	"11"	"6"	"2"	"1"	"1"	"0"	"0"	"162.058395"	"0.005054197"	"0"	"No Peptide Found"	"Non metabolites found"
"456"	"162.052825"	"10"	"6"	"5"	"0"	"0"	"0"	"0"	"163.0601732"	"-0.899733364"	"0"	"No Peptide Found"	"C00478 , C01088 , C01989 , C02360 , C02488 , C02991 , C03652 , C03761 , C03827 , C03979 , C06158 , C06159 , C06474 , C06478 , C06485 , C11592 , C16390 , C17209 , C18028 , C20902"
"564"	"164.055899"	"9"	"5"	"5"	"1"	"0"	"0"	"1"	"187.0452833"	"-0.355491333"	"0"	"No Peptide Found"	"Non metabolites found"
"794"	"170.045645"	"9"	"3"	"4"	"2"	"0"	"1"	"2"	"215.0168379"	"-0.044714411"	"0"	"No Peptide Found"	"Non metabolites found"
"607"	"170.048705"	"11"	"4"	"4"	"1"	"1"	"0"	"1"	"193.0377175"	"0.230848504"	"0"	"No Peptide Found"	"Non metabolites found"
"487"	"170.105528"	"14"	"8"	"2"	"2"	"0"	"0"	"0"	"171.1128861"	"0.755005334"	"0"	"No Peptide Found"	"C07841"
"493"	"171.977292"	"5"	"2"	"7"	"0"	"0"	"1"	"0"	"172.9847742"	"1.208380521"	"0"	"No Peptide Found"	"Non metabolites found"
"821"	"172.061295"	"11"	"3"	"4"	"2"	"0"	"1"	"2"	"217.032465"	"-0.463737817"	"0"	"No Peptide Found"	"Non metabolites found"
"494"	"172.121178"	"16"	"8"	"2"	"2"	"0"	"0"	"0"	"173.1285618"	"0.432294407"	"0"	"No Peptide Found"	"Non metabolites found"
"502"	"174.050321"	"10"	"11"	"0"	"0"	"1"	"0"	"0"	"175.057778"	"-0.372031647"	"0"	"No Peptide Found"	"Non metabolites found"
"503"	"174.100443"	"14"	"7"	"3"	"2"	"0"	"0"	"0"	"175.107823"	"1.759790926"	"1"	"G1V1"	"C00437 , C01047"
"504"	"174.111676"	"14"	"6"	"2"	"4"	"0"	"0"	"0"	"175.1190505"	"-0.013637925"	"1"	"R1"	"C00062 , C00792 , C02385"
"513"	"175.084459"	"13"	"7"	"4"	"1"	"0"	"0"	"0"	"176.0918287"	"1.381642973"	"0"	"No Peptide Found"	"C10851"
"523"	"177.08235"	"15"	"7"	"2"	"1"	"1"	"0"	"0"	"178.0897346"	"2.117008684"	"0"	"No Peptide Found"	"C17217"
"525"	"178.04774"	"10"	"6"	"6"	"0"	"0"	"0"	"0"	"179.0551075"	"0.055924359"	"0"	"No Peptide Found"	"C00198 , C00204 , C00273 , C00691 , C01040 , C01115 , C01216 , C02669 , C02692 , C02779 , C03107 , C03269 , C03383 , C03926 , C05394 , C05410 , C06892 , C16737 , C17577 , C19679 , C20251 , C20680 , C20903"
"645"	"178.071549"	"11"	"6"	"5"	"1"	"0"	"0"	"1"	"201.0609195"	"0.37694733"	"0"	"No Peptide Found"	"Non metabolites found"
"673"	"180.087199"	"13"	"6"	"5"	"1"	"0"	"0"	"1"	"203.0765625"	"0.037935464"	"0"	"No Peptide Found"	"Non metabolites found"
"535"	"181.073894"	"11"	"9"	"3"	"1"	"0"	"0"	"0"	"182.0812686"	"0.52506057"	"1"	"Y1"	"C00082 , C01536 , C03290 , C04368 , C06420 , C19579 , C19712 , C20807"
"543"	"183.029661"	"10"	"4"	"5"	"1"	"0"	"1"	"0"	"184.0371467"	"1.183730652"	"0"	"No Peptide Found"	"Non metabolites found"
"544"	"183.05653"	"13"	"5"	"4"	"1"	"1"	"0"	"0"	"184.0638924"	"0.435812071"	"0"	"No Peptide Found"	"C00919"
"545"	"183.066046"	"14"	"5"	"4"	"1"	"0"	"1"	"0"	"184.073495"	"-0.246378367"	"0"	"No Peptide Found"	"Non metabolites found"
"549"	"184.013677"	"9"	"4"	"6"	"0"	"0"	"1"	"0"	"185.02117"	"-0.740746765"	"0"	"No Peptide Found"	"C15556"
"550"	"184.034671"	"8"	"12"	"0"	"0"	"1"	"0"	"0"	"185.0417882"	"0.3447269"	"0"	"No Peptide Found"	"C20125"
"551"	"184.034671"	"8"	"12"	"0"	"0"	"1"	"0"	"0"	"185.0421484"	"0.035078453"	"0"	"No Peptide Found"	"C20125"
"708"	"184.064355"	"13"	"5"	"4"	"1"	"1"	"0"	"1"	"207.0533645"	"0.141347558"	"0"	"No Peptide Found"	"Non metabolites found"
"553"	"184.121178"	"16"	"9"	"2"	"2"	"0"	"0"	"0"	"185.1285491"	"1.087331449"	"0"	"No Peptide Found"	"Non metabolites found"
"554"	"184.157563"	"20"	"10"	"1"	"2"	"0"	"0"	"0"	"185.1649437"	"1.815204903"	"0"	"No Peptide Found"	"Non metabolites found"
"559"	"185.116427"	"15"	"8"	"2"	"3"	"0"	"0"	"0"	"186.1238386"	"1.053585339"	"0"	"No Peptide Found"	"C19047"
"563"	"185.992942"	"7"	"3"	"7"	"0"	"0"	"1"	"0"	"187.0004322"	"-1.530672605"	"0"	"No Peptide Found"	"C00197 , C00597 , C00631"
"566"	"186.050321"	"10"	"12"	"0"	"0"	"1"	"0"	"0"	"187.057818"	"-0.643329211"	"0"	"No Peptide Found"	"Non metabolites found"
"568"	"186.064058"	"10"	"7"	"4"	"2"	"0"	"0"	"0"	"187.07148"	"1.053555065"	"0"	"No Peptide Found"	"C13672"
"569"	"186.100443"	"14"	"8"	"3"	"2"	"0"	"0"	"0"	"187.1078278"	"1.284566126"	"1"	"A1P1"	"Non metabolites found"
"570"	"187.084459"	"13"	"8"	"4"	"1"	"0"	"0"	"0"	"188.0918427"	"-0.016349771"	"0"	"No Peptide Found"	"C03682 , C05548 , C11842 , C12988 , C21195"
"572"	"188.008592"	"9"	"3"	"7"	"0"	"0"	"1"	"0"	"189.01611"	"0.012712847"	"0"	"No Peptide Found"	"Non metabolites found"
"574"	"188.079708"	"12"	"7"	"4"	"2"	"0"	"0"	"0"	"189.08711"	"0.4060816"	"0"	"No Peptide Found"	"C20918 , C20920"
