"Source"	"Target"	"Loss"
"836"	"377"	"A1"
"1232"	"377"	"P1"
"2428"	"377"	"K1"
"3203"	"377"	"F1"
"3628"	"377"	"R1"
"9135"	"377"	"C1H1"
"11756"	"377"	"C1G3"
"15092"	"377"	"C2G2"
"19039"	"377"	"C2W1"
"836"	"447"	"G1"
"1628"	"447"	"P1"
"2974"	"447"	"K1"
"3424"	"447"	"H1"
"3878"	"447"	"F1"
"4299"	"447"	"R1"
"6145"	"447"	"W1"
"2283"	"503"	"P1"
"3632"	"503"	"K1"
"4114"	"503"	"H1"
"4592"	"503"	"F1"
"5123"	"503"	"R1"
"7122"	"503"	"W1"
"1232"	"569"	"G1"
"1628"	"569"	"A1"
"2762"	"569"	"P1"
"2918"	"569"	"T1"
"3004"	"569"	"C1"
"3502"	"569"	"L1"
"4225"	"569"	"K1"
"4246"	"569"	"E1"
"5276"	"569"	"F1"
"5886"	"569"	"R1"
"8045"	"569"	"W1"
"3497"	"675"	"P1"
"3572"	"675"	"V1"
"3747"	"675"	"C1"
"4293"	"675"	"G2"
"4334"	"675"	"D1"
"5272"	"675"	"M1"
"6998"	"675"	"R1"
"9294"	"675"	"W1"
"3502"	"676"	"P1"
"5126"	"676"	"K1"
"5723"	"676"	"H1"
"6358"	"676"	"F1"
"7005"	"676"	"R1"
"9303"	"676"	"W1"
"3572"	"697"	"P1"
"5241"	"697"	"K1"
"5830"	"697"	"H1"
"2206"	"772"	"G1"
"2762"	"772"	"A1"
"3497"	"772"	"S1"
"4118"	"772"	"V1"
"4180"	"772"	"T1"
"4244"	"772"	"C1"
"4850"	"772"	"L1"
"4938"	"772"	"D1"
"5788"	"772"	"K1"
"5829"	"772"	"E1"
"5925"	"772"	"M1"
"7790"	"772"	"R1"
"8205"	"772"	"Y1"
"2283"	"804"	"G1"
"3572"	"804"	"S1"
"4118"	"804"	"P1"
"4183"	"804"	"V1"
"4950"	"804"	"L1"
"5048"	"804"	"D1"
"5889"	"804"	"K1"
"6062"	"804"	"M1"
"7179"	"804"	"F1"
"7916"	"804"	"R1"
"2918"	"828"	"A1"
"4180"	"828"	"P1"
"4444"	"828"	"C1"
"5055"	"828"	"L1"
"6059"	"828"	"E1"
"6220"	"828"	"M1"
"8050"	"828"	"R1"
"10336"	"828"	"W1"
"4183"	"830"	"P1"
"5059"	"830"	"L1"
"6019"	"830"	"K1"
"6694"	"830"	"H1"
"7342"	"830"	"F1"
"8059"	"830"	"R1"
"2424"	"836"	"G1"
"4221"	"836"	"P1"
"6069"	"836"	"K1"
"7444"	"836"	"F1"
"8099"	"836"	"R1"
"2428"	"837"	"G1"
"2974"	"837"	"A1"
"4225"	"837"	"P1"
"4416"	"837"	"T1"
"5126"	"837"	"L1"
"6768"	"837"	"H1"
"7451"	"837"	"F1"
"4246"	"857"	"P1"
"10476"	"857"	"W1"
"2614"	"900"	"G1"
"3203"	"900"	"A1"
"4451"	"900"	"P1"
"4592"	"900"	"V1"
"6474"	"900"	"K1"
"6675"	"900"	"M1"
"8409"	"900"	"R1"
"22314"	"900"	"C2W1"
"3502"	"983"	"A1"
"4850"	"983"	"P1"
"4950"	"983"	"V1"
"5055"	"983"	"T1"
"5838"	"983"	"L1"
"6894"	"983"	"K1"
"6930"	"983"	"E1"
"7530"	"983"	"H1"
"8212"	"983"	"F1"
"9005"	"983"	"R1"
"9487"	"983"	"Y1"
"11302"	"983"	"W1"
"2870"	"991"	"G1"
"3539"	"991"	"A1"
"4293"	"991"	"S1"
"4900"	"991"	"P1"
"6931"	"991"	"K1"
"9056"	"991"	"R1"
"2912"	"1021"	"G1"
"4334"	"1021"	"S1"
"4938"	"1021"	"P1"
"5048"	"1021"	"V1"
"5265"	"1021"	"C1"
"6048"	"1021"	"D1"
"7041"	"1021"	"E1"
"8317"	"1021"	"F1"
"9148"	"1021"	"R1"
"4950"	"1032"	"P1"
"5059"	"1032"	"V1"
"5941"	"1032"	"L1"
