"Source"	"Target"	"Loss"
"7846"	"2184"	"P1"
"9645"	"2184"	"K1"
"11227"	"2184"	"R1"
"13658"	"2184"	"D1S1"
"15035"	"2184"	"A1R1"
"17180"	"2184"	"A1G1H1"
"12547"	"2999"	"A1P1"
"17268"	"2999"	"P1R1"
"18157"	"2999"	"G2R1"
"18787"	"2999"	"G1K1P1"
"18922"	"2999"	"K1R1"
"19819"	"2999"	"F1R1"
"12547"	"3001"	"A1P1"
"14250"	"3001"	"A1K1"
"14253"	"3001"	"A1K1"
"17180"	"3001"	"G2H1"
"17268"	"3001"	"P1R1"
"18157"	"3001"	"G2R1"
"18787"	"3001"	"G1K1P1"
"18823"	"3001"	"P1W1"
"18922"	"3001"	"K1R1"
"19819"	"3001"	"F1R1"
"21108"	"3001"	"H1P2"
"9402"	"3786"	"P1"
"11241"	"3786"	"K1"
"12217"	"3786"	"F1"
"4414"	"4413"	""
"18738"	"4413"	"R1V1"
"21356"	"4413"	"R2"
"4415"	"4414"	""
"10193"	"4414"	"V1"
"10194"	"4414"	"V1"
"11052"	"4414"	"G2"
"19261"	"4414"	"H1K1"
"4419"	"4415"	""
"10069"	"4415"	"P1"
"10191"	"4415"	"V1"
"12017"	"4415"	"M1"
"20161"	"4415"	"K1R1"
"7846"	"4419"	"G1"
"11101"	"4419"	"D1"
"12547"	"4419"	"A2"
"17188"	"4419"	"K1P1"
"17268"	"4419"	"A1R1"
"18736"	"4419"	"R1V1"
"18801"	"4419"	"K2"
"18823"	"4419"	"A1W1"
"19262"	"4419"	"H1K1"
"20125"	"4419"	"F1H1"
"20193"	"4419"	"V1W1"
"20309"	"4419"	"M1R1"
"21108"	"4419"	"A1H1P1"
"4608"	"4606"	""
"10193"	"4608"	"P1"
"10194"	"4608"	"P1"
"12972"	"4608"	"F1"
"13418"	"4608"	"R1"
"13420"	"4608"	"R1"
"18937"	"4608"	"K2"
"5224"	"5219"	""
"5225"	"5224"	""
"5226"	"5224"	""
"5230"	"5225"	""
"18823"	"5225"	"G1W1"
"20759"	"5225"	"K1R1"
"9402"	"5226"	"A1"
"12589"	"5226"	"E1"
"17959"	"5226"	"K1P1"
"18745"	"5226"	"K1L1"
"18787"	"5226"	"G2K1"
"20084"	"5226"	"L1R1"
