ID	Mass	Intensity
F1	195.0	
F-2	196.0	1983875.0
F3	200.8	1182025.0
F4	221.1	457790.0
F5	234.2	5848107.0
F6	235.0	44.0
F7	249.9	527554.0
F8	260.1	3308059.0
F9	260.7	159.0
F10	278.2	1207817.0
F&11	284.2	405365.0
F12	295.1	519079.0
F13	296.1	5113597.0
F14	296.8	1483252.0
F15	332.0	805928.0
F16	332.9	2866544.0
F17	352.4	1091898.0
F18	364.1	350285.0
F19	367.0	736635.0
F20	371.0	2345274.0
F21	372.9	1156301.0
F22	377.2	4131119.0
F23	377.9	444387.0
F24	381.4	8116812.0
F-25	382.2	
F26	395.1	5656401.0
F27	396.0	485946.0
F28	430.2	4157520.0
F29	431.3	1201745.0
F30	452.1	663736.0
F31	457.3	492451.0
F32	465.9	3361387.0
F33	466.7	20.0
F34	468.0	255032.0
F35	471.0	1342287.0
F36	475.2	1901314.0
F37	476.1	3353161.0
F38	476.9	30.0
F39	487.2	5153415.0
F40	487.9	8.0
F41	490.0	300583.0
F42	494.1	10602068.0
F43	494.8	5028444.0
F44	495.7	147.0
F45	544.3	1197440.0
F46	548.5	261408.0
F47	549.2	1676223.0
F48	551.5	1511294.0
F49	552.2	7.0
F50	560.8	794531.0
F51	562.1	328625.0
F52	563.4	1182317.0
F53	564.5	310443.0
F54	580.2	1141394.0
F55	589.1	3077182.0
F56	590.1	3448933.0
F57	590.7	84.0
F58	600.2	4406264.0
F59	600.8	1677.0
F60	601.5	737732.0
F61	606.2	1143343.0
F62	607.1	9602974.0
F63	608.2	3878593.0
F64	626.4	677658.0
F65	636.4	1020023.0
F66	640.5	3086361.0
F67	646.4	730612.0
F68	648.0	2305602.0
F69	664.0	966080.0
F70	671.2	1982334.0
F71	672.3	4433883.0
F72	673.4	1838110.0
F73	674.3	426603.0
F74	681.2	34428048.0
F75	682.0	5040938.0
F76	683.4	1448410.0
F77	693.3	796935.0
F78	706.2	803639.0
F79	708.0	1085408.0
F80	709.4	1390467.0
F81	710.2	340.0
F82	712.8	364437.0
F83	726.3	1125383.0
F84	733.1	967992.0
F85	735.4	463173.0
F86	737.6	624106.0
F87	761.4	1674527.0
F88	772.3	8733244.0
F89	773.3	6516663.0
F90	774.3	974261.0
F91	779.3	4834789.0
F92	780.2	15.0
F93	781.2	1373802.0
F94	794.1	1626181.0
F95	794.8	290.0
F96	822.0	802702.0
F97	856.5	1174552.0
F98	874.4	2551027.0
F99	875.3	2142412.0
F100	885.3	13646472.0
F101	886.3	9370640.0
F102	887.3	1345965.0
F103	888.4	527741.0
F104	891.9	1813745.0
F105	893.1	2538174.0
F106	893.8	956.0
F107	912.9	554783.0
F108	921.1	964707.0
F109	951.4	579140.0
F110	963.8	282867.0
F111	966.3	384866.0
F112	972.3	1570919.0
F113	984.4	19117232.0
F114	985.5	9013680.0
F115	986.4	3028994.0
F116	987.0	874.0
F117	988.5	2056594.0
F118	989.5	1216833.0
F119	1006.2	12428832.0
F120	1007.3	305698.0
F121	1008.2	983787.0
F122	1020.5	1214537.0
F123	1065.4	152945.0
F124	1083.5	5834504.0
F125	1084.5	1792216.0
F126	1085.7	414267.0
F127	1093.6	749830.0
F128	1101.1	643572.0
F129	1102.6	1616191.0
F130	1119.4	2474032.0
F131	1120.4	4212308.0
F132	1121.5	1528047.0
F133	1122.1	109.0
F134	1148.4	1524963.0
F135	1149.3	1674025.0
F136	1166.4	13674316.0
F137	1167.6	6579392.0
F138	1168.5	1327223.0
F139	1184.4	9355180.0
F140	1185.0	2197453.0
F141	1185.7	4589004.0
F142	1186.5	2910339.0
F143	1187.6	1793443.0
F144	1205.5	886882.0
F145	1214.3	641449.0
F146	1215.5	674536.0
F147	1216.5	1134489.0
F148	1223.7	1273130.0
F149	1224.6	1756854.0
F150	1232.5	7175028.0
F151	1233.1	2514837.0
F152	1235.8	89856.0
F153	1241.4	5197735.0
F154	1242.8	4321376.0
F155	1243.7	16.0
F156	1251.6	2674477.0
