sce	Saccharomyces cerevisiae (budding yeast)
hsa	Homo sapiens (human)
acan	Acanthamoeba castellanii
abx	Acinetobacter baumannii 1656-2
abn	Acinetobacter baumannii AB0057
abau	Acinetobacter baumannii AB030
abaa	Acinetobacter baumannii AB031
abb	Acinetobacter baumannii AB307-0294
abk	Acinetobacter baumannii AbH12O-A2
abw	Acinetobacter baumannii AC29
abc	Acinetobacter baumannii ACICU
acb	Acinetobacter baumannii ATCC 17978
aby	Acinetobacter baumannii AYE
abj	Acinetobacter baumannii BJAB07104
abab	Acinetobacter baumannii BJAB0715
abaj	Acinetobacter baumannii BJAB0868
abad	Acinetobacter baumannii D1279779
abal	Acinetobacter baumannii LAC-4
abr	Acinetobacter baumannii MDR-TJ
abz	Acinetobacter baumannii MDR-ZJ06
abm	Acinetobacter baumannii SDF
abd	Acinetobacter baumannii TCDC-AB0715
abh	Acinetobacter baumannii TYTH-1
abaz	Acinetobacter baumannii ZW85-1
aei	Acinetobacter equi
ajo	Acinetobacter johnsonii
ano	Acinetobacter nosocomialis
acd	Acinetobacter oleivorans
acc	Acinetobacter pittii
aci	Acinetobacter sp. ADP1
acw	Acinetobacter sp. DUT-2
acv	Acinetobacter sp. TGL-Y2
att	Acinetobacter sp. TTH0-4
aec	Acromyrmex echinatior (Panamanian leafcutter ant)
adf	Acropora digitifera (stony coral)
aeu	Actinobacillus equuli
apa	Actinobacillus pleuropneumoniae AP76 (serotype 7)
apj	Actinobacillus pleuropneumoniae JL03 (serotype 3)
apl	Actinobacillus pleuropneumoniae L20 (serotype 5b)
asu	Actinobacillus succinogenes
ass	Actinobacillus suis ATCC 33415
asi	Actinobacillus suis H91-0380
api	Acyrthosiphon pisum (pea aphid)
aag	Aedes aegypti (yellow fever mosquito)
ats	Aegilops tauschii (wheat D)
abv	Agaricus bisporus var. bisporus H97
abp	Agaricus bisporus var. burnettii JB137-S8
aao	Aggregatibacter actinomycetemcomitans ANH9381
aat	Aggregatibacter actinomycetemcomitans D11S-1
aan	Aggregatibacter actinomycetemcomitans D7S-1
aah	Aggregatibacter actinomycetemcomitans HK1651
aap	Aggregatibacter aphrophilus
vfm	Aiivibrio fischeri MJ11
aml	Ailuropoda melanoleuca (giant panda)
vfi	Aliivibrio fischeri ES114
vsa	Aliivibrio salmonicida
awd	Aliivibrio wodanis
amj	Alligator mississippiensis (American alligator)
asn	Alligator sinensis (Chinese alligator)
atr	Amborella trichopoda
aqu	Amphimedon queenslandica (sponge)
apla	Anas platyrhynchos (mallard)
acs	Anolis carolinensis (green anole)
aga	Anopheles gambiae (mosquito)
pfp	Anthracocystis flocculosa
ame	Apis mellifera (honey bee)
aam	Apteryx australis mantelli (brown kiwi)
aly	Arabidopsis lyrata (lyrate rockcress)
ath	Arabidopsis thaliana (thale cress)
adu	Arachis duranensis
aip	Arachis ipaensis
asy	Arsenophonus symbiont of Lipoptena fortisetosa
abe	Arthroderma benhamiae
ago	Ashbya gossypii (Eremothecium gossypii)
act	Aspergillus clavatus
nfi	Aspergillus fischeri
afv	Aspergillus flavus
afm	Aspergillus fumigatus
ani	Aspergillus nidulans
ang	Aspergillus niger
aor	Aspergillus oryzae
aaf	Aureococcus anophagefferens
adl	Auricularia subglabra
apro	Auxenochlorella protothecoides
acx	Azotobacter chroococcum
avl	Azotobacter vinelandii CA
avd	Azotobacter vinelandii CA6
avn	Azotobacter vinelandii DJ
bbo	Babesia bovis
bacu	Balaenoptera acutorostrata scammoni (minke whale)
bpg	Bathycoccus prasinos
bcom	Baudoinia panamericana
bvg	Beta vulgaris (sugar beet)
btre	Bibersteinia trehalosi USDA-ARS-USMARC-188
btrh	Bibersteinia trehalosi USDA-ARS-USMARC-189
btra	Bibersteinia trehalosi USDA-ARS-USMARC-190
bto	Bibersteinia trehalosi USDA-ARS-USMARC-192
bor	Bipolaris oryzae
bsc	Bipolaris sorokiniana
bze	Bipolaris zeicola
ben	Blochmannia endosymbiont of Camponotus (Colobopsis) obliquus 757
bed	Blochmannia endosymbiont of Polyrhachis (Hedomyrma) turneri 675
bim	Bombus impatiens (common eastern bumble bee)
bter	Bombus terrestris (buff-tailed bumblebee)
bmor	Bombyx mori (domestic silkworm)
bom	Bos mutus (wild yak)
bta	Bos taurus (cow)
bfu	Botrytis cinerea
bdi	Brachypodium distachyon
bfo	Branchiostoma floridae (Florida lancelet)
bna	Brassica napus (rape)
boe	Brassica oleracea (wild cabbage)
brp	Brassica rapa (field mustard)
bmy	Brugia malayi (filaria)
baj	Buchnera aphidicola (Cinara tujafilina)
bap	Buchnera aphidicola 5A (Acyrthosiphon pisum)
bak	Buchnera aphidicola Ak (Acyrthosiphon kondoi)
buc	Buchnera aphidicola APS (Acyrthosiphon pisum)
bcc	Buchnera aphidicola BCc
bab	Buchnera aphidicola Bp (Baizongia pistaciae)
bapf	Buchnera aphidicola F009 (Myzus persicae)
bapg	Buchnera aphidicola G002 (Myzus persicae)
baw	Buchnera aphidicola JF98 (Acyrthosiphon pisum)
bajc	Buchnera aphidicola JF99 (Acyrthosiphon pisum)
bua	Buchnera aphidicola LL01 (Acyrthosiphon pisum)
bas	Buchnera aphidicola Sg (Schizaphis graminum)
bup	Buchnera aphidicola TLW03 (Acyrthosiphon pisum)
bau	Buchnera aphidicola Tuc7 (Acyrthosiphon pisum)
buh	Buchnera aphidicola Ua (Uroleucon ambrosiae)
bapu	Buchnera aphidicola USDA (Myzus persicae)
bapw	Buchnera aphidicola W106 (Myzus persicae)
cbr	Caenorhabditis briggsae
cel	Caenorhabditis elegans (nematode)
cjc	Callithrix jacchus (white-tufted-ear marmoset)
cmk	Callorhinchus milii (elephant shark)
cfr	Camelus ferus (Wild Bactrian camel)
cfo	Camponotus floridanus (Florida carpenter ant)
cal	Candida albicans
cdu	Candida dubliniensis
cgr	Candida glabrata
cot	Candida orthopsilosis
cten	Candida tenuis
ctp	Candida tropicalis
bchr	Candidatus Blochmannia chromaiodes (Camponotus chromaiodes)
bfl	Candidatus Blochmannia floridanus (Camponotus floridanus)
bpn	Candidatus Blochmannia pennsylvanicus (Camponotus pennsylvanicus)
bva	Candidatus Blochmannia vafer (Camponotus vafer)
den	Candidatus Doolittlea endobia
hde	Candidatus Hamiltonella defensa (Acyrthosiphon pisum)
hed	Candidatus Hoaglandella endobia
icp	Candidatus Ishikawaella capsulata
men	Candidatus Moranella endobia PCIT
meo	Candidatus Moranella endobia PCVAL
